"title","content","date","variant","images","verified","author","rating","product","url"
"Best gift","I love this iPad. My boyfriend gave it to me as gift and it is exactly what I needed for school. iPad matches description and does exactly what it claims.","29 Sep 2020","Size: 32GB Style: WiFi Color: Space Gray","https://images-na.ssl-images-amazon.com/images/I/71iGNGngXbL._SY88.jpg","Yes","Sintia Escobar","5.0","2020 Apple iPad (10.2-inch, Wi-Fi, 32GB) - Space Gray (8th Generation)","https://www.amazon.com/Apple-iPad-10-2-inch-Wi-Fi-32GB/product-reviews/B08J65DST5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1"
"Great deal","Don’t listen to the reviews it clearly does not state anywhere it included keyboard stop being haters. This is a great deal you get 30$ off as well awesome deal!","27 Sep 2020","Size: 32GB Style: WiFi Color: Space Gray","","Yes","Asad ali","5.0","2020 Apple iPad (10.2-inch, Wi-Fi, 32GB) - Space Gray (8th Generation)","https://www.amazon.com/Apple-iPad-10-2-inch-Wi-Fi-32GB/product-reviews/B08J65DST5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1"
"This is an amazing iPad. Some of these other reviews are misleading","I love this iPad so much. It’s perfect and at the right price. Some people are mad because it doesn’t have full screen and it doesn’t come with a keyboard and this and that. If you’re looking for a full screen iPad you are looking for the iPad Pro. Just because some of you all don’t  on the difference between the iPad and iPad Pro doesn’t mean that this iPad is a bad product. It’s not Apple or anybody else’s fault that you don’t know the difference between The different iPads. Do research before you buy a product. Anyways this iPad is a wonderful device I love it so much and I recommend it for anyone who wants the iPad but is also on a budget. It’s really affordable.","08 Oct 2020","Size: 32GB Style: WiFi Color: Gold","https://images-na.ssl-images-amazon.com/images/I/71NTe5vpJHL._SY88.jpg","Yes","Brandon Walker","5.0","2020 Apple iPad (10.2-inch, Wi-Fi, 32GB) - Space Gray (8th Generation)","https://www.amazon.com/Apple-iPad-10-2-inch-Wi-Fi-32GB/product-reviews/B08J65DST5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1"
"Call of Duty Mobile with max settings!","Runs call of duty mobile with max high quality graphics and max high frame rates. Gorgeous display!","26 Sep 2020","Size: 32GB Style: WiFi Color: Space Gray","","Yes","KA HUNNICUTT","5.0","2020 Apple iPad (10.2-inch, Wi-Fi, 32GB) - Space Gray (8th Generation)","https://www.amazon.com/Apple-iPad-10-2-inch-Wi-Fi-32GB/product-reviews/B08J65DST5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1"
"We love it","Great iPad and decent price. My husband loves it and it’s easy to use.","26 Sep 2020","Size: 32GB Style: WiFi Color: Space Gray","","Yes","vicki","5.0","2020 Apple iPad (10.2-inch, Wi-Fi, 32GB) - Space Gray (8th Generation)","https://www.amazon.com/Apple-iPad-10-2-inch-Wi-Fi-32GB/product-reviews/B08J65DST5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1"
"Deceptive/Incorrect Product Listing:  Does NOT Come with a ""Fully Awesome Size Keyboard""","Deceptive/Incorrect Product Listing:  Does NOT Come with a ""Fully Awesome Size Keyboard"" as advertised on the product listing page.  I expected this to come with the keyboard, but it does not.  It also does not come with any product instructions at all. The ONLY reason I purchased this was because I needed it for work, and assumed it came with a keyboard (a ""fully awesome size keyboard""), but it didn't.  I also assumed this product would come with instructions...but of course it did not. HOWEVER, Apple DID include with the product two Apple stickers.  I promptly threw these in the garbage can, and have no intentions of ever using them in my life. And as soon as I do not need to use this ipad anymore, it's going right into the garbage as well, where it belongs. ABSOLUTE EUROTRASH YUPPIE GEN Z GARBAGE.","25 Sep 2020","Size: 32GB Style: WiFi Color: Space Gray","","Yes","BigFatBlackLady","1.0","2020 Apple iPad (10.2-inch, Wi-Fi, 32GB) - Space Gray (8th Generation)","https://www.amazon.com/Apple-iPad-10-2-inch-Wi-Fi-32GB/product-reviews/B08J65DST5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1"
"It’s damn fast! Priced right!","Love it! Quick on it’s feet, bright wonderful display, just an amazing product! For less than $300? This is a full size tablet. Nearly twice the size of a mini. Took less then a few minutes to transfer my apps, and such from iCloud and my iPhone. Couldn’t wait to get in here and leave 5 stars! Doesn’t have facial recognition. Big whoop! It does so much, I can live without it. Under $300 bucks! Sweet!!","29 Sep 2020","Size: 32GB Style: WiFi Color: Space Gray","","Yes","Austin Scott","5.0","2020 Apple iPad (10.2-inch, Wi-Fi, 32GB) - Space Gray (8th Generation)","https://www.amazon.com/Apple-iPad-10-2-inch-Wi-Fi-32GB/product-reviews/B08J65DST5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1"
"iPad 8 th gen","I think it is like the 7th gen because they are the same thing and work the same","26 Sep 2020","Size: 32GB Style: WiFi Color: Space Gray","","Yes","Jennifer","5.0","2020 Apple iPad (10.2-inch, Wi-Fi, 32GB) - Space Gray (8th Generation)","https://www.amazon.com/Apple-iPad-10-2-inch-Wi-Fi-32GB/product-reviews/B08J65DST5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1"
"A must have","My iPad was 8 years old. It was time to upgrade to something a little faster and this beauty site fills the bill. Easy to set up. It has a lot of gadgets that I don’t need and deleted and I had to redownload all the apps I use daily but that’s no biggie. I’m in my late 77s and most technology is a bumbling confusion to me so I’m very glad this iPad was no trouble at all.","14 Oct 2020","Size: 32GB Style: WiFi Color: Silver","","Yes","DebbieL.","5.0","2020 Apple iPad (10.2-inch, Wi-Fi, 32GB) - Space Gray (8th Generation)","https://www.amazon.com/Apple-iPad-10-2-inch-Wi-Fi-32GB/product-reviews/B08J65DST5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1"
"Very nice tablet! 128 GB is good investment for a long life one.","I like this ipad 8th generation for the thickness and weight are almost the same the ipad air newest generation. I visited Apple online store and do comparing among the models to be sure the differences and which one I should buy for my needs within the budget. So no surprise, just be glad and enjoy it! The price is reasonable for the basic functions I need and I know this tablet would last many years as the old ipad air2, ipad mini 4 we have. I bought 128 GB, I think it’s a good investment, but if you dont need much storages and cost is the main one, I think 32 GB is good enough. A protest case is a must though.","03 Oct 2020","Size: 128GB Style: WiFi Color: Gold","","Yes","White May","5.0","2020 Apple iPad (10.2-inch, Wi-Fi, 32GB) - Space Gray (8th Generation)","https://www.amazon.com/Apple-iPad-10-2-inch-Wi-Fi-32GB/product-reviews/B08J65DST5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1"
